"ID","Registry name","Biome name","temp.","temp cat","rain","snow","oceanic","BiomeType","BiomeDictionary.Type","Valid for","waterColorMultiplier","grassColorMultiplier","foliageColorMultiplier"
235,"nt:meadow","Meadow",0.80,"MEDIUM",0.40,"false","false","WARM","PLAINS","spawn, stronghold, village","0x003F76E4 (   4159204)","0x0092C951 (   9619793)","0x0073AC42 (   7580738)"
236,"nt:mixed_forest","Mixed Forest",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST","spawn, stronghold, village","0x003F76E4 (   4159204)","0x008DA54F (   9282895)","0x00A6B04B (  10924107)"
237,"nt:mixed_forest_hills","Mixed Forest Hills",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST","spawn, stronghold","0x003F76E4 (   4159204)","0x008DA54F (   9282895)","0x00A6B04B (  10924107)"
238,"nt:monsoon_forest","Monsoon Forest",0.95,"MEDIUM",2.00,"false","false","WARM","JUNGLE, RARE, WET","spawn, stronghold","0x00002FEE (     12270)","0x0033B058 (   3387480)","0x0026C139 (   2539833)"
239,"nt:moorland","Moorland",0.47,"MEDIUM",1.50,"false","false","WARM","HILLS","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFF7DBC6E (  -8536978)","0x008EA13D (   9347389)"
240,"nt:mountains","Mountains",0.20,"MEDIUM",0.30,"false","false","WARM","MOUNTAIN","spawn, stronghold, village","0x003F76E4 (   4159204)","0x0076B263 (   7778915)","0x006BA157 (   7053655)"
241,"nt:oak_forest","Oak Forest",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFF79C05A (  -8798118)","0xFF59AE30 ( -10899920)"
242,"nt:oak_forest_hills","Oak Forest Hills",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST","spawn, stronghold","0x003F76E4 (   4159204)","0xFF79C05A (  -8798118)","0xFF59AE30 ( -10899920)"
243,"nt:poppy_meadow","Poppy Meadow",0.80,"MEDIUM",0.40,"false","false","WARM","MAGICAL, PLAINS, RARE","spawn, stronghold, village","0x003F76E4 (   4159204)","0x00A0CA5F (  10537567)","0x00A0CA5F (  10537567)"
244,"nt:royal_forest","Royal Forest",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST, MAGICAL","spawn, stronghold, village","0x003F76E4 (   4159204)","0x0055B450 (   5616720)","0x003AA933 (   3844403)"
245,"nt:royal_forest_hills","Royal Forest Hills",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST, MAGICAL","spawn, stronghold","0x003F76E4 (   4159204)","0x0055B450 (   5616720)","0x003AA933 (   3844403)"
246,"nt:tall_oak_forest","Tall Oak Forest",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFF79C05A (  -8798118)","0xFF59AE30 ( -10899920)"
247,"nt:tall_oak_forest_hills","Tall Oak Forest Hills",0.70,"MEDIUM",0.80,"false","false","WARM","FOREST","spawn, stronghold","0x003F76E4 (   4159204)","0xFF79C05A (  -8798118)","0xFF59AE30 ( -10899920)"
248,"nt:white_orchard","White Orchard",1.00,"WARM",0.40,"false","false","WARM","PLAINS","spawn, stronghold, village","0x003F76E4 (   4159204)","0x00A5D246 (  10867270)","0x00A0CE3E (  10538558)"
249,"nt:pink_beach","Pink Beach",0.80,"MEDIUM",0.40,"false","false","","BEACH, OCEAN, WATER","spawn, stronghold","0x003F76E4 (   4159204)","0xFF91BD59 (  -7226023)","0xFF77AB2F (  -8934609)"
250,"nt:purple_beach","Purple Beach",0.80,"MEDIUM",0.40,"false","false","","BEACH, OCEAN, WATER","spawn, stronghold","0x003F76E4 (   4159204)","0xFF91BD59 (  -7226023)","0xFF77AB2F (  -8934609)"
251,"nt:orange_beach","Orange Beach",0.80,"MEDIUM",0.40,"false","false","","BEACH, OCEAN, WATER","spawn, stronghold","0x003F76E4 (   4159204)","0xFF91BD59 (  -7226023)","0xFF77AB2F (  -8934609)"
252,"nt:white_beach","White Beach",0.80,"MEDIUM",0.40,"false","false","","BEACH, OCEAN, WATER","spawn, stronghold","0x003F76E4 (   4159204)","0xFF91BD59 (  -7226023)","0xFF77AB2F (  -8934609)"
253,"nt:black_beach","Black Beach",0.80,"MEDIUM",0.40,"false","false","","BEACH, OCEAN, WATER","spawn, stronghold","0x003F76E4 (   4159204)","0xFF91BD59 (  -7226023)","0xFF77AB2F (  -8934609)"
254,"nt:iron_beach","Iron Beach",0.80,"MEDIUM",0.40,"false","false","","BEACH, OCEAN, WATER","spawn, stronghold","0x003F76E4 (   4159204)","0xFF91BD59 (  -7226023)","0xFF77AB2F (  -8934609)"
255,"nt:olivine_beach","Olivine Beach",0.80,"MEDIUM",0.40,"false","false","","BEACH, OCEAN, WATER","spawn, stronghold","0x003F76E4 (   4159204)","0xFF91BD59 (  -7226023)","0xFF77AB2F (  -8934609)"
256,"nt:brown_beach","Brown Beach",0.80,"MEDIUM",0.40,"false","false","","BEACH, OCEAN, WATER","spawn, stronghold","0x003F76E4 (   4159204)","0xFF91BD59 (  -7226023)","0xFF77AB2F (  -8934609)"
257,"nt:autumn_taiga","Autumn Taiga",0.25,"MEDIUM",0.80,"false","false","COOL","CONIFEROUS","spawn, stronghold, village","0x003F76E4 (   4159204)","0x00A4BA6B (  10795627)","0x00A4BA6B (  10795627)"
258,"nt:autumn_taiga_hills","Autumn Taiga Hills",0.25,"MEDIUM",0.80,"false","false","COOL","CONIFEROUS","spawn, stronghold","0x003F76E4 (   4159204)","0x00A4BA6B (  10795627)","0x00A4BA6B (  10795627)"
259,"nt:blue_taiga","Blue Taiga",0.25,"MEDIUM",0.80,"false","false","COOL","CONIFEROUS","spawn, stronghold, village","0x003F76E4 (   4159204)","0x006BB88C (   7059596)","0x004AAE68 (   4894312)"
260,"nt:blue_taiga_hills","Blue Taiga Hills",0.25,"MEDIUM",0.80,"false","false","COOL","CONIFEROUS","spawn, stronghold","0x003F76E4 (   4159204)","0x006BB88C (   7059596)","0x004AAE68 (   4894312)"
261,"nt:cliffs","Cliffs",0.70,"MEDIUM",0.30,"false","false","COOL","CONIFEROUS, MOUNTAIN","spawn, stronghold","0x003F76E4 (   4159204)","0x008CB06B (   9220203)","0x008CB06B (   9220203)"
262,"nt:stone_fields","Stone Fields",0.25,"MEDIUM",0.80,"false","false","COOL","PLAINS","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFF86B783 (  -7948413)","0xFF68A464 (  -9919388)"
263,"nt:maple_forest","Maple Forest",0.25,"MEDIUM",0.80,"false","false","COOL","CONIFEROUS","spawn, stronghold, village","0x003F76E4 (   4159204)","0x009FBB53 (  10468179)","0x00D9A44F (  14263375)"
264,"nt:maple_forest_hills","Maple Forest Hills",0.25,"MEDIUM",0.80,"false","false","COOL","CONIFEROUS","spawn, stronghold","0x003F76E4 (   4159204)","0x009FBB53 (  10468179)","0x00D9A44F (  14263375)"
265,"nt:mega_autumn_taiga","Mega Autumn Taiga",0.25,"MEDIUM",0.80,"false","false","COOL","CONIFEROUS, RARE","spawn, stronghold, village","0x003F76E4 (   4159204)","0x00A4BA6B (  10795627)","0x00A4BA6B (  10795627)"
266,"nt:mega_autumn_taiga_hills","Mega Autumn Taiga Hills",0.25,"MEDIUM",0.80,"false","false","COOL","CONIFEROUS, RARE","spawn, stronghold","0x003F76E4 (   4159204)","0x00A4BA6B (  10795627)","0x00A4BA6B (  10795627)"
267,"nt:mega_blue_taiga","Mega Blue Taiga",0.25,"MEDIUM",0.80,"false","false","COOL","CONIFEROUS, RARE","spawn, stronghold, village","0x003F76E4 (   4159204)","0x006BB88C (   7059596)","0x004AAE68 (   4894312)"
268,"nt:mega_blue_taiga_hills","Mega Blue Taiga Hills",0.25,"MEDIUM",0.80,"false","false","COOL","CONIFEROUS, RARE","spawn, stronghold","0x003F76E4 (   4159204)","0x006BB88C (   7059596)","0x004AAE68 (   4894312)"
269,"nt:mega_maple_forest","Mega Maple Forest",0.25,"MEDIUM",0.80,"false","false","COOL","CONIFEROUS, RARE","spawn, stronghold, village","0x003F76E4 (   4159204)","0x009FBB53 (  10468179)","0x00D44335 (  13910837)"
270,"nt:mega_maple_forest_hills","Mega Maple Forest Hills",0.25,"MEDIUM",0.80,"false","false","COOL","CONIFEROUS, RARE","spawn, stronghold","0x003F76E4 (   4159204)","0x009FBB53 (  10468179)","0x00D44335 (  13910837)"
271,"nt:pineland","Pineland",0.25,"MEDIUM",0.80,"false","false","COOL","CONIFEROUS, HILLS","spawn, stronghold, village","0x003F76E4 (   4159204)","0x007CB660 (   8173152)","0x0074BA52 (   7649874)"
272,"nt:rocky_taiga","Rocky Taiga",0.25,"MEDIUM",0.80,"false","false","COOL","CONIFEROUS","spawn, stronghold, village","0x003F76E4 (   4159204)","0x006EA93C (   7252284)","0x00639F2F (   6528815)"
273,"nt:shrubland","Shrubland",0.80,"MEDIUM",0.40,"false","false","COOL","CONIFEROUS","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFF91BD59 (  -7226023)","0x004F9C37 (   5217335)"
274,"nt:stone_mountains","Stone Mountains",0.20,"MEDIUM",0.30,"false","false","COOL","MOUNTAIN","spawn, stronghold","0x003F76E4 (   4159204)","0xFF8AB689 (  -7686519)","0xFF6DA36B (  -9591957)"
275,"nt:clayland","Clayland",0.90,"MEDIUM",0.30,"false","false","DESERT","SAVANNA","spawn, stronghold, village","0x003F76E4 (   4159204)","0x00CCC566 (  13419878)","0x00B9CC66 (  12176486)"
276,"nt:lush_desert","Lush Desert",0.95,"MEDIUM",0.90,"false","false","DESERT","JUNGLE, LUSH, SAVANNA","spawn, stronghold, village","0x00002AF4 (     10996)","0x0094C72B (   9750315)","0x0094C72B (   9750315)"
277,"nt:red_sand_dune","Red Sand Dune",2.00,"WARM",0.00,"false","false","DESERT","SANDY","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
278,"nt:rockland","Rockland",0.90,"MEDIUM",0.30,"false","false","DESERT","SAVANNA","spawn, stronghold, village","0x003F76E4 (   4159204)","0x00CCC566 (  13419878)","0x00B9CC66 (  12176486)"
279,"nt:sahel","Sahel",0.90,"MEDIUM",1.00,"false","false","DESERT","SANDY","spawn, stronghold, village","0x003F76E4 (   4159204)","0x0092B25C (   9613916)","0x0092B25C (   9613916)"
280,"nt:sand_dune","Sand Dune",2.00,"WARM",0.00,"false","false","DESERT","SANDY","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
281,"nt:sandy_mountains","Sandy Mountains",2.00,"WARM",0.00,"false","false","DESERT","MOUNTAIN, SANDY","spawn, stronghold","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
282,"nt:scrubland","Scrubland",1.20,"WARM",0.00,"false","false","DESERT","SAVANNA","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
283,"nt:tropical_desert","Tropical Desert",0.95,"MEDIUM",1.00,"false","false","DESERT","JUNGLE, LUSH, SAVANNA","spawn, stronghold, village","0x00002FEE (     12270)","0x0063CA1B (   6539803)","0x0063CA1B (   6539803)"
284,"nt:alps","Alps",0.20,"MEDIUM",0.30,"false","false","ICY","CONIFEROUS, MOUNTAIN, SNOWY","spawn, stronghold, village","0x003F76E4 (   4159204)","0x0099C762 (  10078050)","0x0083B84D (   8632397)"
285,"nt:cold_birch_forest","Cold Birch Forest",0.00,"COLD",0.80,"true","false","ICY","FOREST, SNOWY","spawn, stronghold, village","0x003F76E4 (   4159204)","0x00A1B269 (  10596969)","0x00A1B269 (  10596969)"
286,"nt:cold_birch_forest_hills","Cold Birch Forest Hills",0.00,"COLD",0.80,"true","false","ICY","FOREST, SNOWY","spawn, stronghold","0x003F76E4 (   4159204)","0x00A1B269 (  10596969)","0x00A1B269 (  10596969)"
287,"nt:cold_blue_taiga","Cold Blue Taiga",-0.50,"COLD",0.40,"true","false","ICY","CONIFEROUS, SNOWY","spawn, stronghold, village","0x003F76E4 (   4159204)","0x006BB88C (   7059596)","0x004AAE68 (   4894312)"
288,"nt:cold_blue_taiga_hills","Cold Blue Taiga Hills",-0.50,"COLD",0.40,"true","false","ICY","CONIFEROUS, SNOWY","spawn, stronghold","0x003F76E4 (   4159204)","0x006BB88C (   7059596)","0x004AAE68 (   4894312)"
289,"nt:cold_desert","Cold Desert",-2.00,"COLD",0.80,"true","false","ICY","COLD","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFF80B497 (  -8342377)","0x00B2893A (  11700538)"
290,"nt:cold_flower_forest","Cold Flower Forest",0.00,"COLD",0.80,"true","false","ICY","FOREST, SNOWY","spawn, stronghold, village","0x003F76E4 (   4159204)","0x00A1B269 (  10596969)","0x00A1B269 (  10596969)"
291,"nt:cold_flower_forest_hills","Cold Flower Forest Hills",0.00,"COLD",0.80,"true","false","ICY","FOREST, SNOWY","spawn, stronghold","0x003F76E4 (   4159204)","0x00A1B269 (  10596969)","0x00A1B269 (  10596969)"
292,"nt:cold_forest","Cold Forest",0.00,"COLD",0.80,"true","false","ICY","FOREST, SNOWY","spawn, stronghold, village","0x003F76E4 (   4159204)","0x00A1B269 (  10596969)","0x00A1B269 (  10596969)"
293,"nt:cold_forest_hills","Cold Forest Hills",0.00,"COLD",0.80,"true","false","ICY","FOREST, SNOWY","spawn, stronghold","0x003F76E4 (   4159204)","0x00A1B269 (  10596969)","0x00A1B269 (  10596969)"
294,"nt:cold_mega_blue_taiga","Cold Mega Blue Taiga",-0.50,"COLD",0.40,"true","false","ICY","CONIFEROUS, RARE, SNOWY","spawn, stronghold, village","0x003F76E4 (   4159204)","0x006BB88C (   7059596)","0x004AAE68 (   4894312)"
295,"nt:cold_mega_blue_taiga_hills","Cold Mega Blue Taiga Hills",-0.50,"COLD",0.40,"true","false","ICY","CONIFEROUS, RARE, SNOWY","spawn, stronghold","0x003F76E4 (   4159204)","0x006BB88C (   7059596)","0x004AAE68 (   4894312)"
296,"nt:cold_mega_spruce_taiga","Cold Mega Spruce Taiga",0.00,"COLD",0.80,"true","false","ICY","CONIFEROUS, RARE, SNOWY","spawn, stronghold, village","0x003F76E4 (   4159204)","0x00A1B269 (  10596969)","0x00A1B269 (  10596969)"
297,"nt:cold_mega_spruce_taiga_hills","Cold Mega Spruce Taiga Hills",0.00,"COLD",0.80,"true","false","ICY","CONIFEROUS, RARE, SNOWY","spawn, stronghold","0x003F76E4 (   4159204)","0x00A1B269 (  10596969)","0x00A1B269 (  10596969)"
298,"nt:cold_mega_taiga","Cold Mega Taiga",0.00,"COLD",0.80,"true","false","ICY","CONIFEROUS, RARE, SNOWY","spawn, stronghold, village","0x003F76E4 (   4159204)","0x00A1B269 (  10596969)","0x00A1B269 (  10596969)"
299,"nt:cold_mega_taiga_hills","Cold Mega Taiga Hills",0.00,"COLD",0.80,"true","false","ICY","CONIFEROUS, RARE, SNOWY","spawn, stronghold","0x003F76E4 (   4159204)","0x00A1B269 (  10596969)","0x00A1B269 (  10596969)"
300,"nt:cold_roofed_forest","Cold Roofed Forest",0.00,"COLD",0.80,"true","false","ICY","FOREST, SNOWY","spawn, stronghold, village","0x003F76E4 (   4159204)","0x00A1B269 (  10596969)","0x00A1B269 (  10596969)"
301,"nt:cold_roofed_forest_hills","Cold Roofed Forest Hills",0.00,"COLD",0.80,"true","false","ICY","FOREST, SNOWY","spawn, stronghold","0x003F76E4 (   4159204)","0x00A1B269 (  10596969)","0x00A1B269 (  10596969)"
302,"nt:glacier","Glacier",0.00,"COLD",0.50,"false","false","ICY","COLD, SNOWY","spawn, stronghold","0x003F76E4 (   4159204)","0xFF80B497 (  -8342377)","0xFF60A17B ( -10444421)"
303,"nt:icy_tundra","Icy Tundra",-1.00,"COLD",0.50,"true","false","ICY","COLD, SNOWY","spawn, stronghold","0x003F76E4 (   4159204)","0xFF80B497 (  -8342377)","0x00B2893A (  11700538)"
304,"nt:snowdune","Snow Dune",0.00,"COLD",0.50,"false","false","ICY","COLD, SNOWY","spawn, stronghold","0x003F76E4 (   4159204)","0xFF80B497 (  -8342377)","0xFF60A17B ( -10444421)"
305,"nt:tundra","Tundra",0.20,"MEDIUM",0.50,"false","false","ICY","COLD","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFF88B688 (  -7817592)","0x00B2893A (  11700538)"
306,"traverse:autumnal_woods","Autumnal Woods",0.70,"MEDIUM",0.80,"false","false","COOL","FOREST","spawn, stronghold","0x003F76E4 (   4159204)","0xFFD6C23D (  -2702787)","0xFFD2D31F (  -2960609)"
307,"traverse:woodlands","Woodlands",0.80,"MEDIUM",0.40,"false","false","WARM","PLAINS","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFF99A955 (  -6706859)","0xFF849E4A (  -8085942)"
308,"traverse:mini_jungle","Mini Jungle",0.95,"MEDIUM",0.90,"false","false","WARM","DENSE, HOT, JUNGLE, WET","spawn","0x00003320 (     13088)","0xFF59C93C ( -10892996)","0xFF30BB0B ( -13583605)"
309,"traverse:meadow","Meadow",0.80,"MEDIUM",0.70,"false","false","COOL","LUSH, PLAINS, WET","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFF65CC53 ( -10105773)","0xFF5DD64A ( -10627510)"
310,"traverse:green_swamp","Lush Swamp",0.80,"MEDIUM",0.50,"false","false","WARM","LUSH, SWAMP, WET","spawn","0x00617B64 (   6388580)","0xFF4DD838 ( -11675592)","0xFF4DD838 ( -11675592)"
311,"traverse:red_desert","Red Desert",2.00,"WARM",0.00,"false","false","DESERT","DRY, HOT, SANDY","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
312,"traverse:temperate_rainforest","Temperate Rainforest",0.60,"MEDIUM",0.90,"false","false","COOL","CONIFEROUS, FOREST","spawn, stronghold","0x003F76E4 (   4159204)","0xFF338235 ( -13401547)","0xFF338235 ( -13401547)"
313,"traverse:badlands","Badlands",0.60,"MEDIUM",0.10,"false","false","WARM","DRY, HOT, PLAINS, SPARSE","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFFDBC77C (  -2373764)","0xFFC2C168 (  -4013720)"
314,"traverse:mountainous_desert","Mountainous Desert",2.00,"WARM",0.00,"false","false","DESERT","DRY, HOT, MOUNTAIN, SANDY","spawn, stronghold","0x003F76E4 (   4159204)","0xFFBFB755 (  -4212907)","0xFFAEA42A (  -5331926)"
315,"traverse:rocky_plateau","Rocky Plateau",0.80,"MEDIUM",0.20,"false","false","WARM","HOT, MOUNTAIN","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFFA2BA5D (  -6112675)","0xFF8BA835 (  -7624651)"
316,"traverse:forested_hills","Forested Hills",0.70,"MEDIUM",0.80,"false","false","COOL","FOREST, HILLS","spawn, stronghold","0x003F76E4 (   4159204)","0xFF79C05A (  -8798118)","0xFF59AE30 ( -10899920)"
317,"traverse:birch_forested_hills","Birch Forested Hills",0.70,"MEDIUM",0.80,"false","false","COOL","FOREST, HILLS","spawn, stronghold","0x003F76E4 (   4159204)","0xFF79C05A (  -8798118)","0xFF59AE30 ( -10899920)"
318,"traverse:autumnal_wooded_hills","Autumnal Wooded Hills",0.70,"MEDIUM",0.80,"false","false","COOL","FOREST, HILLS","spawn, stronghold","0x003F76E4 (   4159204)","0xFFD6C23D (  -2702787)","0xFFD2D31F (  -2960609)"
319,"traverse:cliffs","Cliffs",0.40,"MEDIUM",1.20,"false","false","COOL","COLD, HILLS, MOUNTAIN","spawn, stronghold","0x003F76E4 (   4159204)","0xFF81BB75 (  -8275083)","0xFF60A952 ( -10442414)"
320,"traverse:glacier","Glacier",0.00,"COLD",0.50,"true","false","ICY","COLD, MOUNTAIN, SNOWY","spawn, stronghold","0x003F76E4 (   4159204)","0xFF80B497 (  -8342377)","0xFF60A17B ( -10444421)"
321,"traverse:glacier_spikes","Glacier Spikes",0.00,"COLD",0.50,"true","false","ICY","COLD, MOUNTAIN, SNOWY","spawn, stronghold","0x003F76E4 (   4159204)","0xFF80B497 (  -8342377)","0xFF60A17B ( -10444421)"
322,"traverse:snowy_coniferous_forest","Snowy Coniferous Forest",0.00,"COLD",0.50,"true","false","ICY","COLD, CONIFEROUS, FOREST, SNOWY","spawn, stronghold","0x003F76E4 (   4159204)","0xFF338235 ( -13401547)","0xFF338235 ( -13401547)"
323,"traverse:lush_hills","Lush Hills",0.50,"MEDIUM",0.80,"false","false","COOL","HILLS, LUSH, SPARSE, WET","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFF7FE03E (  -8396738)","0xFF58EA33 ( -10950093)"
324,"traverse:desert_shrubland","Desert Shrubland",2.00,"WARM",0.00,"false","false","DESERT","DEAD, DRY, HOT, SANDY","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFFE0CE5C (  -2044324)","0xFFAEA42A (  -5331926)"
325,"traverse:thicket","Thicket",0.80,"MEDIUM",0.30,"false","false","WARM","DENSE, FOREST","spawn, stronghold","0x003F76E4 (   4159204)","0xFF74CD61 (  -9122463)","0xFF6DAF61 (  -9588895)"
326,"traverse:arid_highland","Arid Highland",2.00,"WARM",0.00,"false","false","DESERT","DRY, HILLS, HOT, MOUNTAIN, SPARSE","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFFBACD78 (  -4534920)","0xFF80A02E (  -8347602)"
327,"traverse:rocky_plains","Rocky Plains",0.90,"MEDIUM",0.70,"false","false","COOL","HILLS, PLAINS, SPARSE","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFF73C447 (  -9190329)","0xFF50B41A ( -11488230)"
328,"rats:ratlantis","ratlantis",0.95,"MEDIUM",0.90,"false","false","","DENSE, HOT, JUNGLE, WET","stronghold","0x003F76E4 (   4159204)","0xFF59C93C ( -10892996)","0xFF30BB0B ( -13583605)"
329,"spookybiomes:sorbus_forest","Sorbus Forest",0.25,"MEDIUM",0.90,"false","false","WARM","FOREST, HILLS, WET","spawn, stronghold","0x00CBFF8F (  13369231)","0xFF85B783 (  -8013949)","0xFF67A464 (  -9984924)"
330,"spookybiomes:ghostly_forest","Ghostly Forest",0.25,"MEDIUM",0.90,"false","false","COOL","DEAD, FOREST, HILLS, WET","spawn, stronghold","0x000A2A72 (    666226)","0xFF85B783 (  -8013949)","0xFF67A464 (  -9984924)"
331,"spookybiomes:seeping_forest","Seeping Forest",0.25,"MEDIUM",0.90,"false","false","WARM","HILLS, WET","spawn, stronghold","0x0085E21F (   8774175)","0xFF85B783 (  -8013949)","0xFF67A464 (  -9984924)"
332,"spookybiomes:bloodied_hills","Bloodied Hills",0.50,"MEDIUM",0.50,"false","false","WARM","FOREST, HILLS, WET","spawn, stronghold","0x008F0000 (   9371648)","0xFF8EB971 (  -7423631)","0xFF71A74D (  -9328819)"
333,"aether_legacy:aether_highlands","Aether",0.50,"MEDIUM",0.00,"false","false","","COLD, MAGICAL, VOID","stronghold","0x003F76E4 (   4159204)","0xFFA0B676 (  -6244746)","0xFF87A353 (  -7888045)"
334,"jeid:error_biome","A mod doesn't support extended biome IDs -- report to REID",0.50,"MEDIUM",0.50,"false","false","","PLAINS","stronghold","0x003F76E4 (   4159204)","0xFF8EB971 (  -7423631)","0xFF71A74D (  -9328819)"
335,"nb:crimson_forest","Crimson Forest",2.00,"WARM",0.50,"false","false","","HOT, NETHER","stronghold","0x003F76E4 (   4159204)","0xFF82C245 (  -8207803)","0xFF64B216 ( -10178026)"
336,"nb:warped_forest","Warped Forest",2.00,"WARM",0.50,"false","false","","HOT, NETHER","stronghold","0x003F76E4 (   4159204)","0xFF82C245 (  -8207803)","0xFF64B216 ( -10178026)"
337,"nb:soul_sand_valley","Soul Sand Valley",2.00,"WARM",0.50,"false","false","","DRY, HOT, NETHER","stronghold","0x003F76E4 (   4159204)","0xFF82C245 (  -8207803)","0xFF64B216 ( -10178026)"
338,"nb:basalt_deltas","Basalt Deltas",2.00,"WARM",0.50,"false","false","","HOT, MOUNTAIN, NETHER","stronghold","0x003F76E4 (   4159204)","0xFF82C245 (  -8207803)","0xFF64B216 ( -10178026)"
339,"explorercraft:bamboo_forest","Bamboo Forest",0.90,"MEDIUM",1.00,"false","false","COOL","DENSE, FOREST, WET","spawn, stronghold, village","0x003F76E4 (   4159204)","0xFF55C93F ( -11155137)","0xFF2BBB0F ( -13911281)"
340,"explorercraft:forested_mountain","Forested Mountain",0.50,"MEDIUM",0.50,"false","false","WARM","FOREST, MOUNTAIN","spawn, stronghold","0x003F76E4 (   4159204)","0xFF8EB971 (  -7423631)","0xFF71A74D (  -9328819)"
341,"explorercraft:snowdonia","Snowdonia",0.50,"MEDIUM",1.00,"false","false","COOL","HILLS, MOUNTAIN, WET","spawn, stronghold","0x0000995B (     39259)","0xFF7CBD6B (  -8602261)","0xFF5BAB46 ( -10769594)"
342,"ee:ash_wastelands","Ash Wastelands",0.80,"MEDIUM",0.50,"false","false","","END","stronghold","0x003F76E4 (   4159204)","0xFF8ABF57 (  -7684265)","0xFF6DAE2C (  -9589204)"
